ASSURED_AGE,NOMINEE_RELATION,OCCUPATION,POLICY SUMASSURED,Premium,PREMIUMPAYMENTMODE,Annual Income,HOLDERMARITALSTATUS,INDIV_REQUIREMENTFLAG,Policy Term,Policy Payment Term,Product Type,CHANNEL,Bank code,STATUS,SUB_STATUS,Fraud Category,Anomaly
13,6,11,115,324,2,44,1,1,4,1,4,3,0,1,3,8,1
26,5,11,45,4,4,5,0,1,9,1,3,3,0,1,3,8,0
27,12,10,45,4,4,17,0,1,9,1,3,3,0,1,3,8,0
27,12,11,42,4,4,36,0,1,4,1,3,3,0,1,3,8,0
47,5,6,7,4,4,67,0,1,9,1,3,3,0,1,3,8,0
38,10,0,22,4,4,18,0,1,4,1,3,3,0,0,11,8,0
25,5,2,45,4,4,15,0,1,9,1,3,3,0,1,3,8,0
39,10,11,61,242,4,92,0,1,6,1,4,0,0,1,3,8,0
36,12,4,141,347,4,97,0,1,6,1,4,0,0,1,3,8,0
20,2,10,102,305,4,106,1,1,6,1,4,0,0,0,11,8,0
33,12,2,104,307,4,119,0,1,6,1,4,0,0,1,3,8,0
47,10,2,102,305,4,65,0,1,6,1,4,0,0,1,3,8,0
43,1,11,141,347,4,168,0,1,6,1,4,0,0,1,3,8,0
47,11,6,61,242,4,51,0,1,6,1,4,0,0,1,3,8,0
45,5,6,61,242,4,67,0,1,6,1,4,0,0,1,3,8,0
38,1,6,61,242,4,49,0,1,6,1,4,0,0,1,3,8,0
32,5,11,161,300,4,44,0,0,4,1,3,0,0,1,2,8,0
33,12,11,108,113,4,103,0,1,4,1,3,0,0,1,3,8,0
44,12,11,82,189,4,51,0,0,4,1,3,0,0,1,3,8,0
33,12,11,120,168,4,83,0,1,4,1,3,0,0,1,3,8,0
47,10,8,145,330,4,92,0,0,10,1,3,0,0,1,3,8,0
36,11,11,119,208,4,70,0,1,4,1,3,0,0,1,3,8,0
46,12,11,82,217,4,59,0,0,4,1,3,0,0,1,3,8,0
27,5,11,132,126,4,76,0,0,4,1,3,0,0,1,3,8,0
44,10,11,89,220,4,108,0,0,4,1,3,0,0,1,3,8,0
35,6,11,82,67,4,92,0,1,4,1,3,0,0,1,3,8,0
33,5,11,119,165,4,94,0,1,4,1,3,0,0,1,3,8,0
24,6,11,163,386,4,148,1,1,9,1,4,0,0,1,3,8,1
27,11,10,51,101,0,17,0,1,14,1,3,3,0,1,3,8,1
48,12,11,115,324,1,85,0,0,4,1,4,3,0,1,3,8,1
8,2,0,52,251,4,54,0,1,9,1,3,0,0,1,3,8,1
21,12,11,52,251,4,51,0,1,9,1,3,0,0,3,0,8,0
25,12,0,52,251,4,26,0,1,9,1,3,0,1,1,3,8,0
35,12,11,174,293,1,143,0,0,28,1,3,3,0,1,3,8,1
48,11,11,108,311,4,102,0,0,19,1,3,3,0,1,3,8,0
37,5,11,108,318,4,67,0,1,19,1,3,3,0,0,11,8,0
29,11,0,108,320,0,36,0,1,26,1,3,3,0,1,3,8,1
29,12,4,70,251,4,44,0,1,26,1,3,3,0,1,3,8,0
41,12,0,108,320,0,76,0,0,26,1,3,3,0,1,3,8,1
26,5,11,15,14,4,5,0,1,9,1,3,3,0,1,3,8,0
28,12,2,89,100,4,36,0,0,21,1,3,3,0,1,3,8,0
22,2,0,104,196,4,15,1,1,18,1,3,3,0,0,11,8,1
35,11,11,61,242,4,59,0,1,9,1,4,3,0,1,9,8,0
37,12,2,142,364,4,131,0,1,4,1,4,0,0,1,3,8,0
50,12,11,163,386,4,137,0,1,4,1,4,0,0,0,11,8,0
54,5,8,0,376,4,136,0,1,4,1,4,3,0,0,11,8,0
57,12,9,0,347,4,64,0,1,4,1,4,0,0,0,11,8,0
33,6,11,0,382,4,131,1,1,4,1,4,0,0,0,11,8,0
53,10,4,0,307,3,67,0,1,9,1,4,0,0,0,11,8,0
53,10,4,0,307,4,67,0,1,9,1,4,0,0,0,11,8,0
37,12,11,0,382,4,131,0,1,4,1,4,0,0,3,15,8,0
50,10,9,0,382,4,131,0,1,4,1,4,0,0,0,11,8,0
62,11,9,0,382,4,120,0,1,4,1,4,0,0,0,11,8,0
53,10,9,0,347,4,148,0,1,4,1,4,0,0,0,11,8,0
15,6,11,50,4,4,42,1,1,4,1,3,3,0,6,1,8,1
35,0,0,61,242,4,67,1,1,6,1,4,0,0,0,11,8,1
23,6,11,141,347,4,70,0,1,6,1,4,0,0,0,11,8,0
23,6,11,141,347,4,76,0,1,6,1,4,0,0,0,11,8,0
17,6,11,141,347,4,88,0,1,6,1,4,0,0,0,11,8,0
28,5,11,127,332,4,92,0,1,6,1,4,0,0,3,15,8,0
23,11,11,141,347,4,137,0,1,6,1,4,0,0,0,11,8,0
23,2,11,141,347,4,67,1,1,6,1,4,0,0,0,11,8,1
33,12,11,141,347,4,75,0,1,6,1,4,0,0,0,11,8,0
41,12,11,61,242,4,51,0,1,6,1,4,0,0,0,11,8,0
40,1,11,141,347,4,85,0,1,6,1,4,3,0,2,1,8,0
47,1,11,61,242,4,85,0,1,6,1,4,0,0,0,11,8,0
41,1,11,103,306,4,108,0,1,6,1,4,0,0,0,11,8,0
23,1,11,61,242,4,67,3,1,6,1,4,3,0,2,1,8,1
23,10,11,104,307,4,67,3,1,6,1,4,3,0,2,1,8,1
23,10,11,61,242,4,67,3,1,6,1,4,3,0,2,1,8,1
34,12,0,127,332,4,53,0,1,9,1,4,3,0,8,8,8,1
33,10,2,43,260,4,36,0,1,6,1,3,0,0,0,11,8,0
34,6,11,118,340,4,67,1,1,9,1,3,0,0,0,11,8,0
33,11,11,52,255,4,92,0,1,9,1,3,0,0,0,11,8,0
31,10,11,91,318,4,51,0,1,9,1,3,0,0,0,11,8,0
20,10,6,52,255,4,67,0,1,9,1,3,0,0,0,11,8,0
20,1,6,52,255,4,67,0,1,9,1,3,0,0,0,11,8,0
41,1,11,112,349,4,108,0,1,6,1,3,0,0,0,11,8,0
51,1,9,40,251,4,26,3,0,9,1,3,3,0,1,2,8,1
64,10,9,0,409,3,181,0,1,30,1,2,0,0,0,11,8,1
27,12,11,108,318,4,84,0,1,16,1,3,0,0,0,11,8,0
26,11,11,70,251,4,67,0,1,19,1,3,1,0,3,0,8,0
50,12,9,108,318,4,134,0,0,16,1,3,0,0,0,11,8,0
49,12,11,131,337,4,85,0,0,26,1,3,3,0,8,8,8,1
30,5,11,131,334,4,85,0,1,26,1,3,3,0,2,1,8,0
38,5,8,108,318,4,44,0,1,26,1,3,3,0,0,11,8,0
40,1,11,143,351,4,85,0,0,26,1,3,3,0,8,8,8,1
11,6,12,131,337,4,100,1,1,26,1,3,3,0,8,8,8,1
14,6,11,143,350,4,128,1,1,26,1,3,3,0,3,0,8,1
38,5,11,143,350,4,139,0,1,26,1,3,3,0,2,1,8,0
49,11,11,143,350,4,113,0,0,19,1,3,3,0,3,0,8,1
41,5,11,108,318,4,59,0,1,19,1,3,0,0,0,11,8,0
